feature,importance
lead_time_scaled,0.300729026506147
avg_price_per_room_scaled,0.1563335536851218
no_of_special_requests_scaled,0.12916573176649962
arrival_month_scaled,0.10213994389330514
market_segment_type_Offline,0.058148928527776374
avg_price_per_guest_scaled,0.05040687442949389
estimated_booking_value_scaled,0.04797712491736706
arrival_year_scaled,0.04553533568778861
market_segment_type_Corporate,0.035169427888371525
required_car_parking_space,0.03164427050381961
type_of_meal_plan_Not_Selected,0.01025154235009421
total_nights_scaled,0.010198925339129328
no_of_week_nights_scaled,0.008220346720649613
no_of_adults_scaled,0.0037889461594345056
arrival_date_scaled,0.003618949663024456
no_of_weekend_nights_scaled,0.002886478056843933
room_type_reserved_Room_Type_4,0.0017870782427050719
arrival_day_of_week_scaled,0.001038415273803629
previous_total_bookings_scaled,5.944607364406578E-4
total_guests_scaled,3.6463965218390615E-4
